HSCode,Description,Partner_Country,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
01029000,Other live bovine animal (except cattle and buffalo ),India,PCS,27,550,0.00055
01039100,Live swine weighing <50kg (except pure-bred breeding),India,PCS,719,2994.5,0.002995
02102000,"Meat of bovine animals, salted or smoke edible flours and meals of meat offal.",Hong Kong,Kg,89,94.85175,0.000095
02102000,"Meat of bovine animals, salted or smoke edible flours and meals of meat offal.",United Arab Emirates,Kg,390.200012,717.4158,0.000717
04051000,Butter,India,Kg,3000,1500,0.0015
04059010,Ghee,Australia,Kg,11.2,9.74848,0.00001
04059010,Ghee,Japan,Kg,1092,1073.77475,0.001074
04059010,Ghee,"Korea, Republic of",Kg,5,3,0.000003
04059010,Ghee,Netherlands,Kg,183,231.60189,0.000232
04059010,Ghee,United Arab Emirates,Kg,18.3,50.8273,0.000051
04059010,Ghee,United Kingdom,Kg,223.299999,133.68413,0.000134
04069010,Other cheese,India,Kg,7000,1895,0.001895
04069010,Other cheese,Japan,Kg,1.8,3.0662,0.000003
04090090,Other natural honey,Japan,Kg,375,1084.56463,0.001085
04090090,Other natural honey,Netherlands,Kg,106,967.92837,0.000968
04090090,Other natural honey,Singapore,Kg,0.7,2.1266,0.000002
05010000,"Human hair, unworked, whether or not washed or scoured; waste of human hair.","Korea, Republic of",Kg,39,1012.80444,0.001013
05080000,"Coral; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked",Australia,Kg,0.3,1.5421,0.000002
06011000,"Bulbs, tubers, tuberous roots, corms, crowns & rhizomes, dormat",Qatar,PCS,336,75.3984,0.000075
07049000,"White and red cabbages, kohlrabi, kalee tc, fresh or chilled.",India,Kg,3914685,62360.222,0.06236
07081000,"Peas (pisum sativum), fresh or chilled",India,Kg,185900,2957.8,0.002958
07092000,"Asparagus, fresh or chilled",United Arab Emirates,Kg,895,67.37779,0.000067
07099900,Other fresh or chilled vegetables,Hong Kong,Kg,395,9.2526,0.000009
07099900,Other fresh or chilled vegetables,India,Kg,1300,39,0.000039
07099900,Other fresh or chilled vegetables,Qatar,Kg,17710.5,1961.28497,0.001961
07099900,Other fresh or chilled vegetables,Saudi Arabia,Kg,680,386.36453,0.000386
07099900,Other fresh or chilled vegetables,United Arab Emirates,Kg,10815.099976,1828.68659,0.001829
07099900,Other fresh or chilled vegetables,United Kingdom,Kg,375,9.1224,0.000009
07134090,"Red lentils (except Unskinned, unsplit)",India,Kg,123030,23462.3015,0.023462
08045000,"Guavas, mangoes and mangosteens, fresh or dried.",United Arab Emirates,Kg,81,33.87196,0.000034
08045020,Mangoes,Qatar,Kg,1759,75.45717,0.000075
08045020,Mangoes,United Arab Emirates,Kg,59.5,17.42636,0.000017
08083000,"Pears, fresh",India,Kg,8800,281.6,0.000282
08083000,"Pears, fresh",Qatar,Kg,306,40.73544,0.000041
08083000,"Pears, fresh",United Arab Emirates,Kg,153,19.40543,0.000019
08109090,"Other fruit, fresh, nes",India,Kg,5000,100,0.0001
09011100,"Coffee, not roasted, not decaffeinated",Georgia,Kg,9,21.20388,0.000021
09011100,"Coffee, not roasted, not decaffeinated",Japan,Kg,3402,6779.03784,0.006779
09011100,"Coffee, not roasted, not decaffeinated",Turkey,Kg,1120,3490.7175,0.003491
09011100,"Coffee, not roasted, not decaffeinated",United Kingdom,Kg,500,1498.49512,0.001498
09011100,"Coffee, not roasted, not decaffeinated",United States,Kg,1448.849976,4561.92995,0.004562
09012100,"Roasted coffee, not decaffeinated",India,Kg,24,137.62559,0.000138
09012100,"Roasted coffee, not decaffeinated",Japan,Kg,6,7.4872,0.000007
09012100,"Roasted coffee, not decaffeinated",United Kingdom,Kg,20,48.4946,0.000048
09019000,"Coffee husks and skins,coffee substitutes containing coffee in any proportion",Germany,Kg,15,3.3616,0.000003
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Australia,Kg,0.4,0.30438,0
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Bangladesh,Kg,3,2,0.000002
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Indonesia,Kg,2.7,3.6,0.000004
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Thailand,Kg,2,2.5,0.000003
09022000,"Green tea,whether or not flavoured, nes",Australia,Kg,1935,762.21556,0.000762
09022000,"Green tea,whether or not flavoured, nes",Belgium,Kg,18,85.13185,0.000085
