HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
01029000,Other live bovine animal (except cattle and buffalo ),PCS,27,550,0.00055
01039100,Live swine weighing <50kg (except pure-bred breeding),PCS,719,2994.5,0.002995
02102000,"Meat of bovine animals, salted or smoke edible flours and meals of meat offal.",Kg,479.200012,812.26755,0.000812
04051000,Butter,Kg,3000,1500,0.0015
04059010,Ghee,Kg,1532.799999,1502.63655,0.001503
04069010,Other cheese,Kg,7001.8,1898.0662,0.001898
04090090,Other natural honey,Kg,481.7,2054.6196,0.002055
05010000,"Human hair, unworked, whether or not washed or scoured; waste of human hair.",Kg,39,1012.80444,0.001013
05080000,"Coral; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked",Kg,0.3,1.5421,0.000002
06011000,"Bulbs, tubers, tuberous roots, corms, crowns & rhizomes, dormat",PCS,336,75.3984,0.000075
07049000,"White and red cabbages, kohlrabi, kalee tc, fresh or chilled.",Kg,3914685,62360.222,0.06236
07081000,"Peas (pisum sativum), fresh or chilled",Kg,185900,2957.8,0.002958
07092000,"Asparagus, fresh or chilled",Kg,895,67.37779,0.000067
07099900,Other fresh or chilled vegetables,Kg,31275.599976,4233.71109,0.004234
07134090,"Red lentils (except Unskinned, unsplit)",Kg,123030,23462.3015,0.023462
08045000,"Guavas, mangoes and mangosteens, fresh or dried.",Kg,81,33.87196,0.000034
08045020,Mangoes,Kg,1818.5,92.88353,0.000093
08083000,"Pears, fresh",Kg,9259,341.74087,0.000342
08109090,"Other fruit, fresh, nes",Kg,5000,100,0.0001
09011100,"Coffee, not roasted, not decaffeinated",Kg,6479.849976,16351.38429,0.016351
09012100,"Roasted coffee, not decaffeinated",Kg,50,193.60739,0.000194
09019000,"Coffee husks and skins,coffee substitutes containing coffee in any proportion",Kg,15,3.3616,0.000003
09021000,"Green tea,whether or not flavoured, in immidiate packings of content <=3kg",Kg,8.1,8.40438,0.000008
09022000,"Green tea,whether or not flavoured, nes",Kg,18255.27002,30228.58096,0.030229
09024000,Other black tea (fermented) and other partly fermented tea,Kg,1938466.5,497104.56864,0.497105
09041130,Black Pepper (Marich),Kg,3,2.292,0.000002
09041140,Neither crushed not ground Pepper (Sichuan pepper),Kg,1497.699951,4187.31,0.004187
09041190,Other Dried pepper neither crushed nor ground,Kg,250,302.11119,0.000302
09042100,"Dried, neither, crushed or ground piper & capsicum",Kg,0.2,0.15232,0
09061100,Cinnamon (Cunnamomum zeylanicum Blume) - Neither crushed nor ground,Kg,207185,25189.90492,0.02519
09083110,Big Cardamon (Alaichi) neither crushed nor ground,Kg,387855,675219.48025,0.675219
09101110,Fresh Ginger nither crushed nor ground,Kg,2361943,151434.679,0.151435
09101200,Other  Ginger crushed or ground,Kg,20010,4002.6,0.004003
09103010,Turmeric (Fresh),Kg,1200,823.93525,0.000824
09109100,Other Spice mixtures (referred to in Note 1(b) to this Chapter),Kg,6519.020176,3143.02595,0.003143
09109990,Other spices nes,Kg,48262,5143.9582,0.005144
11010000,Wheat or meslin flour except maida,Kg,36003,3517.83335,0.003518
11029000,"Other cereal flour, nes",Kg,15369.379883,7710.632,0.007711
11042900,"Other worked grains of other cereals, nes",Kg,11500,1081,0.001081
12119010,Yarchhagumba,Kg,66.12,46805.13782,0.046805
12119090,"Other plants or parts, of a kind used in perfumery, pharmacy etc, nes",Kg,499976.629987,107482.87679,0.107483
13019000,"Natural gums, resins, gum-resins,natural oeoresesins and balsams (excl gum arab",Kg,300,10319.4,0.010319
13021900,"Other vegetable saps and extracts, nes",Kg,153250.25,102772.176,0.102772
14019000,"Vegetable materials for plaiting, (excl. bamboos and rattans)",Kg,8649,4395.4765,0.004395
14049010,Semi processed catechu of acacia (liquid ka tha),Kg,219640,69226.25,0.069226
14049020,Cetechu of acacia (Kattha),Kg,172690,172564.96,0.172565
14049050,Rudrakshya seeds,Kg,62557.7,2951.29878,0.002951
14049060,Peal of edqeworthia crysantha(Mitusmata)(Ar eli ko bokra),Kg,16500,23760,0.02376
14049070,Shopnut,Kg,45500,3529.27063,0.003529
14049080,Broom grass (Amriso),Kg,1944000,143611.82,0.143612
14049092,Bodhichitta seeds,Kg,1658.7,620.72259,0.000621
14049099,Other vegetable products,Kg,2000,640,0.00064
15079000,Soya-bean oil (excl. crude) and fractions,Kg,74069148.561768,17993454.74746,17.993455
15119010,Refined bleached deodorized palm oil,LTR,1767120.247559,353881.2,0.353881
15119020,Refined bleached deodorized palm olein,LTR,2134379.929613,1292938.752,1.292939
15121900,Sunflower-seed and safflower oil (excl. crude) and fractions thereof,LTR,5390492.493896,1207547.44605,1.207547
15141100,Crude oil of low erucic acid rape or colza oil,LTR,39147.25,8150.7712,0.008151
15141900,Other oil of low erucic acid rape or colza oil and its fractions,LTR,233760,52363.488,0.052363
15149110,Crude oil of canola (Rapseed),LTR,57690,12922.56,0.012923
15149190,Other crude oil,LTR,426840.34906,91914.72,0.091915
15149910,Other of canola (Rapeseed) nes,LTR,436745.751801,89349.852,0.08935
15149990,"Other of rape, colza or mustard oil & fractions thereof nes",LTR,198825,45726.804,0.045727
15159000,Other fixed vegetable fats and fractions (NON_EDABLE),LTR,24040,5173.408,0.005173
15180000,"Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, d",LTR,1699700,7081.6568,0.007082
15220000,Degras; residues of fatty substances or animal or vegetable waxes,Kg,60230,4818.4,0.004818
17029020,"Artificial Honey, Weather or not mixed with natural honey",Kg,277.6,103.96265,0.000104
17031000,Cane molasses resulting from the extraction  or refining of sugar,Kg,3092110,57307.60593,0.057308
17049000,"Sugar confectionery (including white chocolate), not containing cocoa",Kg,67628.88063,23418.66492,0.023419
18063200,"Not filled (Chocolate, etc, containing cocoa in blocks, slabs or bars)",Kg,3.5,5.3851,0.000005
18069090,"Other Chocolate, etc, containing cocoa, not in blocks, slabs or bars, nes.",Kg,1691.799951,1028.71124,0.001029
