HSCode,Description,Partner_Country,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
01051100,"Live fowls of species gallus domesticus, weighing =<185g (chicks)",Australia,PCS,6080,14194.828,0.014195,0.065
01051100,"Live fowls of species gallus domesticus, weighing =<185g (chicks)",United States,PCS,6552,49319.6345,0.04932,0.065
01059900,"Live poultry, ducks, geese, turkeys and guinea fouls weighing >185g",France,PCS,11440,19920.898,0.019921,0.065
01061900,Other; live mammals,United States,PCS,1,76.32,0.000076,7.697
01069000,Other live animals,Australia,PCS,2,54.92701,0.000055,5.624
01069000,Other live animals,Austria,PCS,1,30.96202,0.000031,3.162
01069000,Other live animals,China,PCS,11,819.238015,0.000819,82.316
01069000,Other live animals,Colombia,PCS,1,92.924719,0.000093,9.358
01069000,Other live animals,France,PCS,2,30.558,0.000031,3.121
01069000,Other live animals,Hong Kong,PCS,1,15.367,0.000015,1.602
01069000,Other live animals,"Korea, Republic of",PCS,4,285.502348,0.000286,28.747
01069000,Other live animals,Mexico,PCS,3,138.888043,0.000139,14.02
01069000,Other live animals,Pakistan,PCS,4,383.304633,0.000383,38.527
01069000,Other live animals,Poland,PCS,9,850.65102,0.000851,85.262
01069000,Other live animals,Romania,PCS,1,112.853867,0.000113,11.351
01069000,Other live animals,Russian Federation,PCS,3,294.293813,0.000294,29.495
01069000,Other live animals,Serbia,PCS,4,397.774,0.000398,39.843
01069000,Other live animals,Spain,PCS,3,237.181871,0.000237,23.915
01069000,Other live animals,Thailand,PCS,3,93.388,0.000093,9.469
01069000,Other live animals,United Kingdom,PCS,3,186.666297,0.000187,18.797
01069000,Other live animals,United States,PCS,2,45.862,0.000046,4.717
03011100,Freshwater fish,India,Kg,1067.75,506.487207,0.000506,46.114
03011900,Other fish,India,Kg,194,357.350383,0.000357,32.423
03019900,Other live fish,India,Kg,182.439999,396.997799,0.000397,36.318
03019900,Other live fish,Thailand,Kg,900,1072.363063,0.001072,107.367
03031900,"Others Tilapias (Oreochromis spp), catfish Pangasius spp, Silurus spp, Claria s.",India,Kg,61164,10004.901629,0.010005,2318.551
03032400,"Catfish (Pangasius spp, Silurus spp, Clariaspp, Ictalurus spp)",India,Kg,168754,36458.003,0.036458,8447.992
03032400,"Catfish (Pangasius spp, Silurus spp, Clariaspp, Ictalurus spp)",Viet Nam,Kg,2500,681.501437,0.000682,165.606
03032500,"Carp (Cyprinus carpio, Carassius carassius, tenopharyngodon idellus, Hypophthalmi",India,Kg,218804,47762.460242,0.047762,11076.569
03046200,"Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)",Viet Nam,Kg,73000,19026.775,0.019027,4623.707
03052000,"Livers and roes, dried, smoked, salted or in brine",United Kingdom,Kg,1,1.12398,0.000001,0.59
03053900,"Other fish fillets dried,salted or in brine but not smoked",Hong Kong,Kg,19.8,5.69977,0.000006,6.614
03053900,"Other fish fillets dried,salted or in brine but not smoked",United Kingdom,Kg,2,1.42049,0.000001,1.525
03055300,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanon~1",Hong Kong,Kg,3,0.88603,0.000001,0.349
03055400,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines ~1",Thailand,Kg,1000,1081.294875,0.001081,262.821
03055400,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines ~1",Viet Nam,Kg,2.5,2.70226,0.000003,0.658
03055900,"Other dried fish, not smoked (excl cod)",Hong Kong,Kg,135,41.005839,0.000041,21.045
03055900,"Other dried fish, not smoked (excl cod)",India,Kg,17890,5536.672844,0.005537,1374.194
03055900,"Other dried fish, not smoked (excl cod)","Korea, Republic of",Kg,10,2.99256,0.000003,2.161
03055900,"Other dried fish, not smoked (excl cod)",Malaysia,Kg,10,4.41405,0.000004,1.545
03061700,Other shrimps and prawns,India,Kg,5561.600006,7123.959625,0.007124,1409.191
03069200,Lobsters (Homarus spp.),India,Kg,500,1229.376875,0.001229,298.804
03074300,Frozen Cuttle fish and squid,India,Kg,3300,1804.725234,0.001805,438.552
03075200,Frozen Octopus,India,Kg,1500,909.738875,0.00091,221.067
04015000,"Milk and cream of >10% fat, not concentrated nor added suger sweetening matter",China,LTR,45,19.5,0.000019,2.145
04021010,"Skimmed Milk In powder, granules or other solid forms, of a fat >1.5%",India,Kg,2.004,1.13723,0.000001,0.705
04021010,"Skimmed Milk In powder, granules or other solid forms, of a fat >1.5%",Qatar,Kg,41.2,11.73415,0.000012,17.998
04021010,"Skimmed Milk In powder, granules or other solid forms, of a fat >1.5%",United Arab Emirates,Kg,3,0.30981,0,0.656
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Australia,Kg,36.7,39.14207,0.000039,14.14
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Canada,Kg,6,10.92,0.000011,3.953
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Germany,Kg,9,32.76165,0.000033,11.729
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Japan,Kg,32,29.5538,0.00003,10.241
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%","Korea, Republic of",Kg,1.5,1.5,0.000002,0.534
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",United Kingdom,Kg,1,3.0602,0.000003,1.091
04021090,"Other Milk and cream in powder, granules or other solid forms of <1.5% fat",India,Kg,87,22.58116,0.000023,13.945
04022100,"Milk and cream in powder, granules or other solid forms of >1.5% fat, unsweetened",India,Kg,14.4,6.27788,0.000006,3.874
04022910,Milk food for babies fat content exceeding 1.5%,Japan,Kg,16,2.83577,0.000003,3.206
04022910,Milk food for babies fat content exceeding 1.5%,United Kingdom,Kg,6.3,23.18947,0.000023,8.388
04029100,"Other Concentrated milk & cream,Not containing added sugar or other sweetening matter",Kuwait,Kg,114,21.74459,0.000022,45.872
04029100,"Other Concentrated milk & cream,Not containing added sugar or other sweetening matter",United Arab Emirates,Kg,16,1.40731,0.000001,3.354
04029900,Sweetened milk and cream (excl in solid form),Australia,Kg,1.5,0.66631,0.000001,0.413
04029900,Sweetened milk and cream (excl in solid form),United Kingdom,Kg,2.5,1.07461,0.000001,2.979
04032000,Yogurt,India,Kg,2.6,29.697061,0.00003,8.898
04051000,Butter,India,Kg,7,2.40225,0.000002,1.484
04051000,Butter,Japan,Kg,120,9.10534,0.000009,5.609
04059010,Ghee,India,Kg,81,77.879451,0.000078,48.1
04061000,"Fresh (unripened or uncured)cheese, including whey cheese and curd.",Austria,Kg,496,993.595,0.000994,149.105
04062000,"Grated or powdered cheese, of all kinds",India,Kg,6000,4117.96,0.004118,1233.395
04062000,"Grated or powdered cheese, of all kinds",Israel,Kg,0.8,0.26101,0,0.177
04063000,"Processed cheese, not grated or powdered",Not_Specified,Kg,102.400002,261.541703,0.000262,78.333
04069010,Other cheese,China,Kg,45,20.25,0.00002,3.103
04069010,Other cheese,India,Kg,2,0.80075,0.000001,0.121
04069090,Other cheese,India,Kg,7470,6649.110625,0.006649,1991.544
04090090,Other natural honey,Israel,Kg,2.6,0.65853,0.000001,0.383
04090090,Other natural honey,Qatar,Kg,0.5,0.4555,0,0.346
05080000,"Coral; shells of molluscs, crustaceans or echinoderms and cuttlebone, unworked",India,Kg,6691,4191.857167,0.004192,804.892
05111000,Bovine semen and embryo,Denmark,Kg,2,6536.74325,0.006537,923.712
05119990,"Other animal products of chapter 2,3 nes,  unfit for human consumption",China,Kg,6000,3668.43,0.003668,891.429
06022000,"Trees, shrubs and bushes, grafted or not, of kind which bear edible fruit or nuts",Italy,PCS,32797,25989.404625,0.025989,0.39
06029000,"Other live plants,nes",China,PCS,31590,5869.660902,0.00587,0.13
06029000,"Other live plants,nes",India,PCS,5500,726.44043,0.000726,36.39
06029000,"Other live plants,nes",Thailand,PCS,1370,98.355094,0.000098,9.836
06031500,Lilies (Lilium spp) fresh cut flowers and buds,India,Kg,1880,612.661981,0.000613,142.041
