HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
01051100,"Live fowls of species gallus domesticus, weighing =<185g (chicks)",PCS,12632,63514.4625,0.063514,0.13
01059900,"Live poultry, ducks, geese, turkeys and guinea fouls weighing >185g",PCS,11440,19920.898,0.019921,0.065
01061900,Other; live mammals,PCS,1,76.32,0.000076,7.697
01069000,Other live animals,PCS,57,4070.342653,0.00407,409.326
03011100,Freshwater fish,Kg,1067.75,506.487207,0.000506,46.114
03011900,Other fish,Kg,194,357.350383,0.000357,32.423
03019900,Other live fish,Kg,1082.439999,1469.360861,0.001469,143.685
03031900,"Others Tilapias (Oreochromis spp), catfish Pangasius spp, Silurus spp, Claria s.",Kg,61164,10004.901629,0.010005,2318.551
03032400,"Catfish (Pangasius spp, Silurus spp, Clariaspp, Ictalurus spp)",Kg,171254,37139.504437,0.03714,8613.598
03032500,"Carp (Cyprinus carpio, Carassius carassius, tenopharyngodon idellus, Hypophthalmi",Kg,218804,47762.460242,0.047762,11076.569
03046200,"Catfish (Pangasius spp, Silurus spp, Claria  spp, Ictalurus spp)",Kg,73000,19026.775,0.019027,4623.707
03052000,"Livers and roes, dried, smoked, salted or in brine",Kg,1,1.12398,0.000001,0.59
03053900,"Other fish fillets dried,salted or in brine but not smoked",Kg,21.8,7.12026,0.000007,8.139
03055300,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanon~1",Kg,3,0.88603,0.000001,0.349
03055400,"Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines ~1",Kg,1002.5,1083.997135,0.001084,263.479
03055900,"Other dried fish, not smoked (excl cod)",Kg,18045,5585.085293,0.005585,1398.945
03061700,Other shrimps and prawns,Kg,5561.600006,7123.959625,0.007124,1409.191
03069200,Lobsters (Homarus spp.),Kg,500,1229.376875,0.001229,298.804
03074300,Frozen Cuttle fish and squid,Kg,3300,1804.725234,0.001805,438.552
03075200,Frozen Octopus,Kg,1500,909.738875,0.00091,221.067
04015000,"Milk and cream of >10% fat, not concentrated nor added suger sweetening matter",LTR,45,19.5,0.000019,2.145
04021010,"Skimmed Milk In powder, granules or other solid forms, of a fat >1.5%",Kg,46.204,13.18119,0.000013,19.359
04021020,"Milk food for babies in powder, granules or other solid forms, of a fat >1.5%",Kg,86.2,116.93772,0.000117,41.688
04021090,"Other Milk and cream in powder, granules or other solid forms of <1.5% fat",Kg,87,22.58116,0.000023,13.945
04022100,"Milk and cream in powder, granules or other solid forms of >1.5% fat, unsweetened",Kg,14.4,6.27788,0.000006,3.874
04022910,Milk food for babies fat content exceeding 1.5%,Kg,22.3,26.02524,0.000026,11.594
04029100,"Other Concentrated milk & cream,Not containing added sugar or other sweetening matter",Kg,130,23.1519,0.000023,49.226
