SN,Partner_Country,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion,Trade_Balance_Rs_Thousands,Trade_Balance_Rs_Billion
1,Afghanistan,19496.4505,0.019496,0,0,-19496.4505,-0.019496
2,Argentina,13852958.615734,13.852959,11512.79271,0.011513,-13841445.823024,-13.841446
3,Australia,2514941.472385,2.514941,255818.00891,0.255818,-2259123.463475,-2.259123
4,Austria,46881.729456,0.046882,63098.67677,0.063099,16216.947314,0.016217
5,Bahrain,1854.460578,0.001854,0,0,-1854.460578,-0.001854
6,Bangladesh,1442415.984911,1.442416,12730.04883,0.01273,-1429685.936081,-1.429686
7,Belgium,40751.052883,0.040751,27182.42862,0.027182,-13568.624263,-0.013569
8,Bhutan,109217.776733,0.109218,67470.46707,0.06747,-41747.309663,-0.041747
9,Brazil,1591051.726109,1.591052,259.82295,0.00026,-1590791.903159,-1.590792
10,Brunei Darussalam,357.084768,0.000357,284.00294,0.000284,-73.081828,-0.000073
11,Bulgaria,69792.888473,0.069793,654.08589,0.000654,-69138.802583,-0.069139
12,Cambodia,4434.086424,0.004434,354.58375,0.000355,-4079.502674,-0.00408
13,Canada,1195910.368303,1.19591,116239.3026,0.116239,-1079671.065703,-1.079671
14,Chile,33329.128984,0.033329,3923.24405,0.003923,-29405.884934,-0.029406
15,China,31746159.926543,31.74616,212626.9672,0.212627,-31533532.959343,-31.533533
16,Colombia,92.924719,0.000093,206.60487,0.000207,113.680151,0.000114
17,Costa Rica,7405.436775,0.007405,1048.8285,0.001049,-6356.608275,-0.006357
18,Croatia,517.047388,0.000517,0,0,-517.047388,-0.000517
19,Cyprus,3990.899562,0.003991,35.30833,0.000035,-3955.591232,-0.003956
20,Czech Republic,61851.0604,0.061851,37631.4652,0.037631,-24219.5952,-0.02422
21,Denmark,24299.38986,0.024299,104596.10321,0.104596,80296.71335,0.080297
22,Dominican Republic,13072.229582,0.013072,0,0,-13072.229582,-0.013072
23,Egypt,74901.857808,0.074902,0,0,-74901.857808,-0.074902
24,El Salvador,0,0,864.19281,0.000864,864.19281,0.000864
25,Estonia,2183.588732,0.002184,730.95906,0.000731,-1452.629672,-0.001453
26,Fiji,0,0,749.03512,0.000749,749.03512,0.000749
27,Finland,6749.081465,0.006749,7904.25226,0.007904,1155.170795,0.001155
28,France,1607314.709507,1.607315,180853.71331,0.180854,-1426460.996197,-1.426461
29,Gabon,5632.493,0.005632,0,0,-5632.493,-0.005632
30,Georgia,78.55363,0.000079,1267.16209,0.001267,1188.60846,0.001189
31,Germany,607576.118461,0.607576,410496.27389,0.410496,-197079.844571,-0.19708
32,Greece,33312.832378,0.033313,1752.25525,0.001752,-31560.577128,-0.031561
33,Hong Kong,257033.294309,0.257033,41904.86758,0.041905,-215128.426729,-0.215128
34,Hungary,25698.889765,0.025699,1575.61384,0.001576,-24123.275925,-0.024123
35,Iceland,206.3475,0.000206,8446.77048,0.008447,8240.42298,0.00824
36,India,102451380.635981,102.451381,33263602.32543,33.263602,-69187778.310551,-69.187778
37,Indonesia,1181827.347471,1.181827,2482.8399,0.002483,-1179344.507571,-1.179345
38,"Iran, Islamic Republic of",756.496093,0.000756,0,0,-756.496093,-0.000756
39,Iraq,243.020938,0.000243,0,0,-243.020938,-0.000243
40,Ireland,145577.070876,0.145577,20663.38232,0.020663,-124913.688556,-0.124914
41,Israel,305528.101209,0.305528,1108.75082,0.001109,-304419.350389,-0.304419
42,Italy,339343.268925,0.339343,182196.33982,0.182196,-157146.929105,-0.157147
43,Japan,464450.563814,0.464451,267728.59232,0.267729,-196721.971494,-0.196722
44,Jordan,4357.352643,0.004357,0,0,-4357.352643,-0.004357
45,Kazakstan,44.215,0.000044,766.43178,0.000766,722.21678,0.000722
46,Kenya,2.02588,0.000002,11433.0095,0.011433,11430.98362,0.011431
47,"Korea, Republic of",533144.629763,0.533145,37803.67818,0.037804,-495340.951583,-0.495341
48,Kuwait,12901.131396,0.012901,9553.90291,0.009554,-3347.228486,-0.003347
49,Lao People's Democratic Republic,9291.51825,0.009292,0,0,-9291.51825,-0.009292
50,Latvia,3249.281768,0.003249,2134.25936,0.002134,-1115.022408,-0.001115
51,Lebanon,281.590964,0.000282,1842.12422,0.001842,1560.533256,0.001561
52,Liechtenstein,0,0,334.41856,0.000334,334.41856,0.000334
53,Lithuania,58142.359985,0.058142,280.29687,0.00028,-57862.063115,-0.057862
54,Luxembourg,455.201633,0.000455,0,0,-455.201633,-0.000455
55,Madagascar,23696.974,0.023697,0,0,-23696.974,-0.023697
56,Malaysia,1663761.744447,1.663762,23169.83266,0.02317,-1640591.911787,-1.640592
57,Maldives,34.56185,0.000035,373.30179,0.000373,338.73994,0.000339
58,Malta,189.59698,0.00019,0,0,-189.59698,-0.00019
59,Mauritius,226.484684,0.000226,0,0,-226.484684,-0.000226
60,Mexico,81394.633475,0.081395,10157.25817,0.010157,-71237.375305,-0.071237
61,Mongolia,0,0,3003.34887,0.003003,3003.34887,0.003003
62,Morocco,1356.172209,0.001356,558.36281,0.000558,-797.809399,-0.000798
63,Myanmar,190780.285684,0.19078,0,0,-190780.285684,-0.19078
64,Namibia,23.983301,0.000024,183.1762,0.000183,159.192899,0.000159
65,Netherlands,164784.671851,0.164785,134589.02996,0.134589,-30195.641891,-0.030196
66,New Zealand,253481.959264,0.253482,16210.80597,0.016211,-237271.153294,-0.237271
67,Norway,5822.846093,0.005823,18227.89459,0.018228,12405.048497,0.012405
68,Not_Specified,344722.427635,0.344722,0,0,-344722.427635,-0.344722
69,Oman,2856465.648422,2.856466,981.51581,0.000982,-2855484.132612,-2.855484
70,Pakistan,34100.706803,0.034101,6049.34275,0.006049,-28051.364053,-0.028051
71,Papua New Guinea,164.03581,0.000164,0,0,-164.03581,-0.000164
72,Paraguay,173111.208,0.173111,0,0,-173111.208,-0.173111
73,Peru,3981.845742,0.003982,0,0,-3981.845742,-0.003982
74,Philippines,65446.427799,0.065446,857.95037,0.000858,-64588.477429,-0.064588
75,Poland,128215.436603,0.128215,15765.16528,0.015765,-112450.271323,-0.11245
76,Portugal,6928.794972,0.006929,367.88598,0.000368,-6560.908992,-0.006561
77,Qatar,542875.828724,0.542876,10595.92395,0.010596,-532279.904774,-0.53228
78,Republic of Moldova,1631.350531,0.001631,0,0,-1631.350531,-0.001631
79,Romania,9797.537445,0.009798,317.19093,0.000317,-9480.346515,-0.00948
80,Russian Federation,4131399.131812,4.131399,4025.24132,0.004025,-4127373.890492,-4.127374
