SN,Customs_Office,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Import_Share_Percent,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion,Export_Share_Percent
1,BHADRAPUR,40287.49355,0.040287,0.021493,0,0,0
2,BHAIRAHAWA,28985188.474018,28.985188,15.463417,3586903.37488,3.586903,9.267491
3,BIRATNAGAR,23439045.113465,23.439045,12.504584,9622523.1336,9.622523,24.861738
4,BIRGUNJ,93861324.180425,93.861324,50.074429,18005096.16966,18.005096,46.519813
5,BRT06,227735.154,0.227735,0.121495,0,0,0
6,CHOBHAR,1467120.37992,1.46712,0.7827,20330.804,0.020331,0.052529
7,GAUR,127406.279966,0.127406,0.06797,9464.18529,0.009464,0.024453
8,JALESHWOR,759433.753138,0.759434,0.405153,348366.94613,0.348367,0.900077
9,JANAKPUR,159778.221906,0.159778,0.085241,0,0,0
10,KAILALI,2046026.608405,2.046027,1.091542,112925.42028,0.112925,0.291766
11,KANCHANPUR,184963.293702,0.184963,0.098677,279.15098,0.000279,0.000721
12,KRISHNANAGAR,2019932.865921,2.019933,1.077622,177513.4874,0.177513,0.458642
13,MAHESHPAUR,64597.572913,0.064598,0.034462,0,0,0
14,MECHI,5762893.000265,5.762893,3.074467,2870999.59081,2.871,7.417809
15,MUSTANG,588786.202108,0.588786,0.314114,0,0,0
16,NEPALGUNJ,6763139.52514,6.76314,3.608093,251138.85677,0.251139,0.648868
17,PASHUPATINAGAR,273.192181,0.000273,0.000146,21055.85,0.021056,0.054402
18,RAJBIRAJ,6064.865603,0.006065,0.003236,0,0,0
19,RASUWA,5678726.691893,5.678727,3.029565,116189.91092,0.11619,0.3002
20,SARLAHI,243998.779155,0.243999,0.130172,10178.00049,0.010178,0.026297
21,SATI,26736.198719,0.026736,0.014264,0,0,0
22,SIRAHA,26258.001562,0.026258,0.014008,0,0,0
23,SUNSARI,116248.027584,0.116248,0.062018,0,0,0
24,SUTHAULI,1064566.268149,1.064566,0.567939,0,0,0
25,TATOPANI,134609.902663,0.13461,0.071814,0,0,0
26,THADHI,206.892641,0.000207,0.00011,0,0,0
27,TI_AIRPORT,13648255.764411,13.648256,7.281259,3551180.73476,3.551181,9.175195
28,TRIVENI,19.45823,0.000019,0.00001,0,0,0
