HS_Chapter,Description,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion,Trade_Balance_Rs_Thousands,Trade_Balance_Rs_Billion,Imports_Revenue_Rs_Thousands
01,Animals; live,87582.023153,0.087582,3544.5,0.003544,-84037.523153,-0.084038,417.218
02,Meat and edible meat offal,0,0,812.26755,0.000812,812.26755,0.000812,0
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",134012.853067,0.134013,0,0,-134012.853067,-0.134013,30893.763
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",12393.113229,0.012393,6955.32235,0.006955,-5437.790879,-0.005438,3665.821
05,Animal originated products; not elsewhere specified or included,14397.030417,0.014397,1014.34654,0.001014,-13382.683877,-0.013383,2620.033
06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",34979.23951,0.034979,75.3984,0.000075,-34903.84111,-0.034904,580.037
07,Vegetables and certain roots and tubers; edible,4051276.89241,4.051277,93081.41238,0.093081,-3958195.48003,-3.958195,458698.674
08,"Fruit and nuts, edible; peel of citrus fruit or melons",2792575.45656,2.792575,568.49636,0.000568,-2792006.9602,-2.792007,729284.969
09,"Coffee, tea, mate and spices",992106.908405,0.992107,1413339.35634,1.413339,421232.447935,0.421232,263927.395
10,Cereals,3725652.601736,3.725653,0,0,-3725652.601736,-3.725653,247408.549
11,"Products of the milling industry; malt, starches, inulin, wheat gluten",320600.211885,0.3206,12309.46535,0.012309,-308290.746535,-0.308291,84447.908
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",4925881.251844,4.925881,154288.01461,0.154288,-4771593.237234,-4.771593,588995.514
13,"Lac; gums, resins and other vegetable saps and extracts",53209.732718,0.05321,113091.576,0.113092,59881.843282,0.059882,12735.047
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,12866.134658,0.012866,421299.7985,0.4213,408433.663842,0.408434,3870.026
15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,23623957.702775,23.623958,21165323.80551,21.165324,-2458633.897265,-2.458634,1320304.871
16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",23016.434515,0.023016,0,0,-23016.434515,-0.023016,11382.599
17,Sugars and sugar confectionery,272154.93202,0.272155,80830.2335,0.08083,-191324.69852,-0.191325,123027.338
18,Cocoa and cocoa preparations,237774.694256,0.237775,1034.09634,0.001034,-236740.597916,-0.236741,179007.402
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",616671.7624,0.616672,544910.89075,0.544911,-71760.87165,-0.071761,347462.832
20,"Preparations of vegetables, fruit, nuts or other parts of plants",253191.713584,0.253192,648699.47531,0.648699,395507.761726,0.395508,127665.941
21,Miscellaneous edible preparations,2039801.781849,2.039802,156725.97415,0.156726,-1883075.807699,-1.883076,805598.504
22,"Beverages, spirits and vinegar",288092.786709,0.288093,22384.68019,0.022385,-265708.106519,-0.265708,481948.645
23,"Food industries, residues and wastes thereof; prepared animal fodder",2392516.600572,2.392517,1265469.11167,1.265469,-1127047.488902,-1.127047,160008.411
24,Tobacco and manufactured tobacco substitutes,409978.641503,0.409979,5805.72405,0.005806,-404172.917453,-0.404173,377146.939
25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",1047013.897122,1.047014,246652.81199,0.246653,-800361.085132,-0.800361,223571.052
26,"Ores, slag and ash",215814.163859,0.215814,58127.088,0.058127,-157687.075859,-0.157687,80181.012
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",35094449.457864,35.094449,6797.92,0.006798,-35087651.537864,-35.087652,8995291.761
28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",482722.651784,0.482723,4,0.000004,-482718.651784,-0.482719,76962.636
29,Organic chemicals,1189190.486596,1.18919,1532.416,0.001532,-1187658.070596,-1.187658,156188.908
30,Pharmaceutical products,3969038.342867,3.969038,82585.61352,0.082586,-3886452.729347,-3.886453,197693.291
31,Fertilizers,12378672.356021,12.378672,0,0,-12378672.356021,-12.378672,14075.791
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",1216246.448445,1.216246,37487.39726,0.037487,-1178759.051185,-1.178759,399294.517
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1705927.287027,1.705927,123434.74233,0.123435,-1582492.544697,-1.582493,800387.796
34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",917065.814618,0.917066,711.014,0.000711,-916354.800618,-0.916355,400465.923
35,Albuminoidal substances; modified starches; glues; enzymes,325144.495355,0.325144,432.37238,0.000432,-324712.122975,-0.324712,84353.667
